"data_time","device","Pa","Rc","Ta","Ua"
"2025-08-01 00:00:09","b101",995.0,0.0,27.9,86.4
"2025-08-01 00:00:39","b101",995.0,0.0,28.0,86.9
"2025-08-01 00:01:09","b101",994.9,0.0,28.0,87.2
"2025-08-01 00:01:39","b101",995.0,0.0,28.0,87.3
"2025-08-01 00:02:09","b101",995.0,0.0,28.0,87.0
"2025-08-01 00:02:39","b101",995.0,0.0,27.9,86.3
"2025-08-01 00:03:09","b101",994.9,0.0,27.9,86.1
"2025-08-01 00:03:39","b101",994.9,0.0,27.9,86.3
"2025-08-01 00:04:09","b101",994.9,0.0,27.9,86.4
"2025-08-01 00:04:39","b101",994.9,0.0,27.9,86.3
"2025-08-01 00:05:09","b101",994.9,0.0,27.9,86.0
"2025-08-01 00:05:39","b101",994.9,0.0,27.9,85.5
"2025-08-01 00:06:09","b101",994.9,0.0,27.9,85.5
"2025-08-01 00:06:39","b101",994.9,0.0,27.8,85.3
"2025-08-01 00:07:09","b101",994.9,0.0,27.8,85.3
"2025-08-01 00:07:39","b101",994.8,0.0,27.8,85.1
"2025-08-01 00:08:09","b101",994.9,0.0,27.8,85.0
"2025-08-01 00:08:39","b101",994.9,0.0,27.8,84.9
"2025-08-01 00:09:09","b101",994.8,0.0,27.8,84.6
"2025-08-01 00:09:39","b101",994.9,0.0,27.8,84.0
"2025-08-01 00:10:09","b101",994.8,0.0,27.8,83.4
"2025-08-01 00:10:39","b101",994.9,0.0,27.7,82.4
"2025-08-01 00:11:09","b101",994.9,0.0,27.7,81.6
"2025-08-01 00:11:39","b101",994.9,0.0,27.7,81.2
"2025-08-01 00:12:09","b101",994.9,0.0,27.7,81.7
"2025-08-01 00:12:39","b101",994.9,0.0,27.8,82.0
"2025-08-01 00:13:09","b101",994.9,0.0,27.8,83.4
"2025-08-01 00:13:39","b101",994.9,0.0,27.8,84.3
"2025-08-01 00:14:09","b101",994.9,0.0,27.8,84.1
"2025-08-01 00:14:39","b101",994.9,0.0,27.9,84.6
"2025-08-01 00:15:09","b101",994.9,0.0,27.9,85.5
"2025-08-01 00:15:39","b101",994.9,0.0,27.9,86.0
"2025-08-01 00:16:09","b101",994.9,0.0,28.0,86.5
"2025-08-01 00:16:39","b101",994.9,0.0,28.0,86.9
"2025-08-01 00:17:09","b101",994.9,0.0,27.9,87.2
"2025-08-01 00:17:39","b101",994.9,0.0,28.0,87.4
"2025-08-01 00:18:09","b101",994.8,0.0,28.0,87.5
"2025-08-01 00:18:39","b101",994.8,0.0,28.0,87.5
"2025-08-01 00:19:09","b101",994.8,0.0,28.0,87.4
"2025-08-01 00:19:39","b101",994.8,0.0,28.0,87.1
"2025-08-01 00:20:09","b101",994.8,0.0,28.0,86.8
"2025-08-01 00:20:39","b101",994.8,0.0,27.9,86.4
"2025-08-01 00:21:09","b101",994.8,0.0,27.9,85.7
"2025-08-01 00:21:39","b101",994.7,0.0,27.9,85.0
"2025-08-01 00:22:09","b101",994.7,0.0,27.8,84.6
"2025-08-01 00:22:39","b101",994.7,0.0,27.8,83.8
"2025-08-01 00:23:09","b101",994.8,0.0,27.8,82.5
"2025-08-01 00:23:39","b101",994.8,0.0,27.8,81.3
"2025-08-01 00:24:09","b101",994.8,0.0,27.8,80.1
"2025-08-01 00:24:39","b101",994.7,0.0,27.8,79.4
"2025-08-01 00:25:09","b101",994.8,0.0,27.8,79.1
"2025-08-01 00:25:39","b101",994.7,0.0,27.8,79.5
"2025-08-01 00:26:09","b101",994.7,0.0,27.8,80.1
"2025-08-01 00:26:39","b101",994.8,0.0,27.8,80.5
"2025-08-01 00:27:09","b101",994.8,0.0,27.9,80.2
"2025-08-01 00:27:39","b101",994.8,0.0,27.9,80.6
"2025-08-01 00:28:09","b101",994.8,0.0,27.9,80.7
"2025-08-01 00:28:39","b101",994.7,0.0,27.9,80.3
"2025-08-01 00:29:09","b101",994.7,0.0,27.9,79.5
"2025-08-01 00:29:39","b101",994.7,0.0,27.9,78.9
"2025-08-01 00:30:09","b101",994.7,0.0,27.9,78.6
"2025-08-01 00:30:39","b101",994.7,0.0,28.0,78.1
"2025-08-01 00:31:09","b101",994.7,0.0,28.0,78.0
