"predict_time","device","real_rainfall_transient","predict_rainfall"
"2025-08-01 00:00:00","b122",0.0,0.0
"2025-08-01 00:15:00","b122",0.0,7.69044527260121e-06
"2025-08-01 00:30:00","b122",0.0,7.696166903770063e-06
"2025-08-01 00:45:00","b122",0.0,7.633921995875426e-06
"2025-08-01 01:00:00","b122",0.0,7.729287062829826e-06
"2025-08-01 01:15:00","b122",0.0,8.1750622484833e-06
"2025-08-01 01:30:00","b122",0.0,7.921669748611748e-06
"2025-08-01 01:45:00","b122",0.0,7.939097486087121e-06
"2025-08-01 02:00:00","b122",0.0,7.866712621762417e-06
"2025-08-01 02:15:00","b122",0.0,8.043067282414995e-06
"2025-08-01 02:30:00","b122",0.0,8.19822889752686e-06
"2025-08-01 02:45:00","b122",0.0,8.028939191717654e-06
"2025-08-01 03:00:00","b122",0.0,8.291360245493706e-06
"2025-08-01 03:15:00","b122",0.0,8.444952982245013e-06
"2025-08-01 03:30:00","b122",0.0,8.08701770438347e-06
"2025-08-01 03:45:00","b122",0.0,8.423932740697637e-06
"2025-08-01 04:00:00","b122",0.0,8.126363354676869e-06
"2025-08-01 04:15:00","b122",0.0,8.38982032291824e-06
"2025-08-01 04:30:00","b122",0.0,8.282839189632796e-06
"2025-08-01 04:45:00","b122",0.0,8.315783816215117e-06
"2025-08-01 05:00:00","b122",0.0,8.201179298339412e-06
"2025-08-01 05:15:00","b122",0.0,8.519320545019582e-06
"2025-08-01 05:30:00","b122",0.0,8.709526809980161e-06
"2025-08-01 05:45:00","b122",0.0,8.527053978468757e-06
"2025-08-01 06:00:00","b122",0.0,8.274277206510305e-06
"2025-08-01 06:15:00","b122",0.0,8.213066394091584e-06
"2025-08-01 06:30:00","b122",0.0,8.598444765084423e-06
"2025-08-01 06:45:00","b122",0.0,8.680160135554615e-06
"2025-08-01 07:00:00","b122",0.0,8.752112989895977e-06
"2025-08-01 07:15:00","b122",0.0,9.047044841281604e-06
"2025-08-01 07:30:00","b122",0.0,8.92359639692586e-06
"2025-08-01 07:45:00","b122",0.0,8.43625093693845e-06
"2025-08-01 08:15:00","b122",0.0,9.865326319413725e-06
"2025-08-01 08:30:00","b122",0.0,1.2306226381042507e-05
"2025-08-01 08:45:00","b122",0.0,1.4906805517966859e-05
"2025-08-01 09:00:00","b122",0.0,1.6313990272465162e-05
"2025-08-01 09:15:00","b122",0.0,1.6535612303414382e-05
"2025-08-01 09:30:00","b122",0.0,1.3796643543173559e-05
"2025-08-01 09:45:00","b122",0.0,9.472112651565112e-06
"2025-08-01 10:00:00","b122",0.0,9.151403901341837e-06
"2025-08-01 10:15:00","b122",0.0,9.522924301563762e-06
"2025-08-01 10:30:00","b122",0.0,8.702265404281206e-06
"2025-08-01 10:45:00","b122",0.0,9.434031198907178e-06
"2025-08-01 11:00:00","b122",0.0,9.939089977706317e-06
"2025-08-01 11:15:00","b122",0.0,8.599322427471634e-06
"2025-08-01 11:30:00","b122",0.0,8.68209644977469e-06
"2025-08-01 11:45:00","b122",0.0,8.082134627329651e-06
"2025-08-01 12:00:00","b122",0.0,8.146973414113745e-06
"2025-08-01 12:15:00","b122",0.0,8.823802090773825e-06
"2025-08-01 12:30:00","b122",0.0,9.686053090263158e-06
"2025-08-01 12:45:00","b122",0.0,1.1267726222286001e-05
"2025-08-01 13:00:00","b122",0.0,1.5275691112037748e-05
"2025-08-01 13:15:00","b122",0.0,1.8784096027957276e-05
"2025-08-01 13:30:00","b122",0.0,1.6821873941808008e-05
"2025-08-01 13:45:00","b122",0.0,1.562861871207133e-05
"2025-08-01 14:00:00","b122",0.0,1.4694082892674487e-05
"2025-08-01 14:15:00","b122",0.0,1.5799338143551722e-05
"2025-08-01 14:30:00","b122",0.0,1.4976096281316131e-05
"2025-08-01 14:45:00","b122",0.0,1.5171346603892744e-05
"2025-08-01 15:00:00","b122",0.0,0.0
"2025-08-01 15:15:00","b122",0.0,0.0
"2025-08-01 15:30:00","b122",0.0,0.0
"2025-08-01 15:45:00","b122",0.0,0.0
"2025-08-01 16:00:00","b122",0.0,0.0
"2025-08-01 16:15:00","b122",0.0,0.0
"2025-08-01 16:30:00","b122",0.0,0.0
"2025-08-01 16:45:00","b122",0.0,0.0
"2025-08-01 17:00:00","b122",0.0,0.0
"2025-08-01 17:15:00","b122",0.0,0.0
"2025-08-01 17:30:00","b122",0.0,0.0
"2025-08-01 17:45:00","b122",0.0,0.0
"2025-08-01 18:00:00","b122",0.0,0.0
"2025-08-01 18:15:00","b122",0.0,0.0
"2025-08-01 18:30:00","b122",0.0,0.0
"2025-08-01 18:45:00","b122",0.0,0.0
"2025-08-01 19:00:00","b122",0.0,0.0
"2025-08-01 19:15:00","b122",0.0,0.0
"2025-08-01 19:30:00","b122",0.0,0.0
"2025-08-01 19:45:00","b122",0.0,0.0
"2025-08-01 20:00:00","b122",0.0,0.0
"2025-08-01 20:15:00","b122",0.0,0.0
"2025-08-01 20:30:00","b122",0.0,0.0
"2025-08-01 20:45:00","b122",0.0,0.0
"2025-08-01 21:00:00","b122",0.0,0.0
"2025-08-01 21:15:00","b122",0.0,0.0
"2025-08-01 21:30:00","b122",0.0,0.0
"2025-08-01 21:45:00","b122",0.0,0.0
"2025-08-01 22:00:00","b122",0.0,0.0
"2025-08-01 22:15:00","b122",0.0,0.0
"2025-08-01 22:30:00","b122",0.0,0.0
"2025-08-01 22:45:00","b122",0.0,0.0
"2025-08-01 23:00:00","b122",0.0,0.0
"2025-08-01 23:15:00","b122",0.0,0.0
"2025-08-01 23:30:00","b122",0.0,0.0
"2025-08-01 23:45:00","b122",0.0,0.0
"2025-08-02 00:00:00","b122",0.0,0.0
"2025-08-02 00:15:00","b122",0.0,0.0
"2025-08-02 00:30:00","b122",0.0,0.0
"2025-08-02 00:45:00","b122",0.0,0.0
"2025-08-02 01:00:00","b122",0.0,0.0
"2025-08-02 01:15:00","b122",0.0,0.0
"2025-08-02 01:30:00","b122",0.0,0.0
"2025-08-02 01:45:00","b122",0.0,0.0
"2025-08-02 02:00:00","b122",0.0,0.0
"2025-08-02 02:15:00","b122",0.0,0.0
"2025-08-02 02:30:00","b122",0.0,0.0
"2025-08-02 02:45:00","b122",0.0,0.0
"2025-08-02 03:00:00","b122",0.0,0.0
"2025-08-02 03:15:00","b122",0.0,0.0
"2025-08-02 03:30:00","b122",0.0,0.0
"2025-08-02 03:45:00","b122",0.0,0.0
"2025-08-02 04:00:00","b122",0.0,0.0
"2025-08-02 04:15:00","b122",0.0,0.0
"2025-08-02 04:30:00","b122",0.0,0.0
"2025-08-02 04:45:00","b122",0.0,0.0
"2025-08-02 05:00:00","b122",0.0,0.0
"2025-08-02 05:15:00","b122",0.0,0.0
"2025-08-02 05:30:00","b122",0.0,0.0
"2025-08-02 05:45:00","b122",0.0,0.0
"2025-08-02 06:00:00","b122",0.0,0.0
"2025-08-02 06:15:00","b122",0.0,0.0
"2025-08-02 06:30:00","b122",0.0,0.0
"2025-08-02 06:45:00","b122",0.0,0.0
"2025-08-02 07:00:00","b122",0.0,0.0
"2025-08-02 07:15:00","b122",0.0,0.0
"2025-08-02 07:30:00","b122",0.0,0.0
"2025-08-02 07:45:00","b122",0.0,0.0
"2025-08-02 08:00:00","b122",0.0,0.0
"2025-08-02 08:15:00","b122",0.0,0.0
"2025-08-02 08:30:00","b122",0.0,0.0
"2025-08-02 08:45:00","b122",0.0,0.0
"2025-08-02 09:00:00","b122",0.0,0.0
"2025-08-02 09:15:00","b122",0.0,0.0
"2025-08-02 09:30:00","b122",0.0,0.0
