sid,lon,lat,datetime,wind_speed,wind_direction,temperature,humidity,pressure,rain1h
57309,105.883,30.983,2025-12-18 09:00:00+00:00,1.5,42.0,13.6,64.0,971.0,0.0
57309,105.883,30.983,2025-12-18 08:00:00+00:00,1.9,37.0,13.8,64.0,971.0,0.0
57309,105.883,30.983,2025-12-18 07:00:00+00:00,1.1,23.0,13.8,64.0,972.0,0.0
57309,105.883,30.983,2025-12-18 06:00:00+00:00,2.1,31.0,13.6,67.0,973.0,0.0
57309,105.883,30.983,2025-12-18 05:00:00+00:00,1.6,68.0,12.6,71.0,974.0,0.0
57309,105.883,30.983,2025-12-18 04:00:00+00:00,1.0,39.0,11.5,78.0,976.0,0.0
57309,105.883,30.983,2025-12-18 03:00:00+00:00,1.7,39.0,10.6,80.0,977.0,0.0
57309,105.883,30.983,2025-12-18 02:00:00+00:00,1.2,309.0,9.6,85.0,978.0,0.0
57309,105.883,30.983,2025-12-18 01:00:00+00:00,1.7,360.0,9.2,85.0,977.0,0.0
57309,105.883,30.983,2025-12-18 00:00:00+00:00,1.4,56.0,9.0,86.0,977.0,0.0
57309,105.883,30.983,2025-12-17 23:00:00+00:00,1.7,357.0,9.0,87.0,977.0,0.0
57309,105.883,30.983,2025-12-17 22:00:00+00:00,1.6,3.0,9.0,86.0,977.0,0.0
57309,105.883,30.983,2025-12-17 21:00:00+00:00,2.0,28.0,9.1,86.0,978.0,0.0
57309,105.883,30.983,2025-12-17 20:00:00+00:00,1.9,6.0,8.8,88.0,978.0,0.0
57309,105.883,30.983,2025-12-17 19:00:00+00:00,1.6,28.0,8.7,90.0,979.0,0.0
57309,105.883,30.983,2025-12-17 18:00:00+00:00,1.8,360.0,8.5,91.0,979.0,0.0
57309,105.883,30.983,2025-12-17 17:00:00+00:00,0.8,335.0,8.6,91.0,980.0,0.0
57309,105.883,30.983,2025-12-17 16:00:00+00:00,0.7,357.0,9.0,89.0,980.0,0.0
57309,105.883,30.983,2025-12-17 15:00:00+00:00,0.6,127.0,9.6,87.0,981.0,0.0
57309,105.883,30.983,2025-12-17 14:00:00+00:00,1.4,326.0,9.9,86.0,981.0,0.0
57309,105.883,30.983,2025-12-17 13:00:00+00:00,0.9,113.0,9.8,84.0,981.0,0.0
57309,105.883,30.983,2025-12-17 12:00:00+00:00,1.5,8.0,10.7,81.0,981.0,0.0
57309,105.883,30.983,2025-12-17 11:00:00+00:00,1.6,73.0,11.6,74.0,981.0,0.0
57309,105.883,30.983,2025-12-17 10:00:00+00:00,1.5,65.0,12.4,70.0,981.0,0.0
57313,106.767,31.867,2025-12-18 09:00:00+00:00,0.9,225.0,12.9,66.0,950.0,0.0
57313,106.767,31.867,2025-12-18 08:00:00+00:00,1.6,118.0,13.4,61.0,951.0,0.0
57313,106.767,31.867,2025-12-18 07:00:00+00:00,2.4,143.0,13.7,60.0,951.0,0.0
57313,106.767,31.867,2025-12-18 06:00:00+00:00,1.5,155.0,13.8,64.0,952.0,0.0
57313,106.767,31.867,2025-12-18 05:00:00+00:00,2.0,177.0,12.2,71.0,954.0,0.0
57313,106.767,31.867,2025-12-18 04:00:00+00:00,1.0,259.0,10.9,79.0,955.0,0.0
